english,hebrew
aside,הצידה
aside from  -,חוץ מ
ask,לשאול
asked for,ביקש
aspiration,"שאיפה, חלום"
assemble,"להרכיב, להתאסף"
assess,"להעריך, לאמוד"
asset,נכס
assign,"למנות, להקצות"
assignment,"משימה, מטלה"
assist,"לעזור, לסייע"
associate,לקשר
association,איגוד
association,אסוציאציה
assume,להניח
assumption,הנחה
astonishment,"תדהמה, השתאות"
astound,להדהים
astronomy,אסטרונומיה
at  -,"אצל, ב"
at first,בהתחלה
at last,סוף סוף
at least,לפחות
at your disposal,לרשותך
athlete,"ספורטאי, אתלט"
atrocity,זוועה
attach,"לחבר, ליחס"
attack,"לתקוף, מתקפה"
attain,"להשיג, להגיע"
attempt,ניסיון
attend,"להשתתף, להיות נוכח"
attendant,"משרת, מטפל, מלווה"
attention,תשומת לב
attire,לבוש
attitude,גישה
attorney,עורך- דין
attract,למשוך
attraction,משיכה
attractive,"נאה, מושך"
attribute,"לייחס, לקשר"
attribute,"תכונה, מאפיין"
auction,מכירה פומבית
audience,קהל
audit,ביקורת
augment,להרחיב
aura,הילה
authentic,"מקורי, אותנטי"
author,"סופר, מחבר"
authority,סמכות
authorize,"להרשות, להסמיך"
autograph,חתימה
automobile,"כלי רכב, אוטו"
autumn,סתיו
availability,זמינות
available,זמין
average,"ממוצע, רגיל"
avert,"להסיט, להפנות, למנוע"
avoid,"להתחמק, להימנע"
await,להמתין
awake,"ער, להתעורר"
award,"פרס, להעניק פרס"
aware,מודע
awareness,מודעות
awe,יראת כבוד
awkward,מגושם
awkward,"מוזר, מביך"
background,רקע
backward,לאחור
bacteria,חיידקים
badly,"נואשות, קשות"
baffled,מבולבל
baggage,"מטען, מזוודה"
bail,"ערבות, לשחרר בערבות"
baker,אופה
balance,"איזון, לאזן"
balance,שיווי משקל
bald,קרח
ban,"חרם, איסור"
band,להקה
band,"לחבוש, תחבושת, רצועה"
bandage,תחבושת
bank,בנק
bank,גדה
bank,לערום
bare,"חשוף, ריק, לחשוף"
barely,בקושי
bargain,להתמקח
bargain,"מציאה, עסקה"
barn,אסם
barrier,מחסום
base,בסיס
based on,מבוסס על
bashful,ביישן
basin,"אגן, כיור"
bat,מחבט
bat,עטלף
bath,"אמבטיה, להתרחץ"
battle,"מאבק, להיאבק"
beach,חוף ים
bead,חרוז
beak,מקור
bear,דוב
bear,"לסבול, לשאת"
beard,זקן
beast,"חיה, מפלצת"
beat,"מכה, להכות"
beat,מקצב
beauty,יופי
because,בגלל
because of,בגלל
bedroom,חדר שינה
bee,דבורה
before,לפני
before,"לפני, מול"
beg,להתחנן
beginning,התחלה
behave,להתנהג
behavior,התנהגות
behind,ישבן
behind,מאחורי
being that  -,מכיוון ש
belief,אמונה
bell,פעמון
belong,שייך
below,מתחת
bend,לכופף
beneath,מתחת
benefactors,"נדבנים, תורמים"
beneficial,"מועיל, רווחי"
bent,כופף
berry,גרגרי יער
beside,ליד
besides,בכל מקרה
besides,בנוסף על
besides  -,"מלבד, חוץ מ"
best,הכי טוב
best-seller,רב- מכר
betray,לבגוד
better,טוב יותר
between,בין
beware,היזהר
beyond,מעבר
biblical,"תנ""כי"
bicycle,אופניים
birth,לידה
bite,"לנשוך, נשיכה"
bizarre,מוזר
blade,להב
blame,להאשים
bland,תפל
blank,"ריק, רווח"
blanket,שמיכה
bleak,עגום
blend,לערבב
blew,"נשב )רוח(, ניפח, פוצץ"
blind,עיוור
blink,למצמץ
block,חסימה
block,"לבנה, גוש, חלק"
blood,דם
blood vessel,כלי דם
blur,"טשטוש, לטשטש"
boat,סירה
body,"גוויה, גוף"
boil,להרתיח
bold,"אמיץ, חצוף"
bold,מודגש
bolster,לתמוך
bond,קשר
bone,עצם
boost,"דחף, המריץ"
boot,מגף
border,גבול
bore,"לשעמם, שעמום"
boring,משעמם
borrow,להשאיל
botanist,בוטנאי
both,שניהם
bottle,בקבוק
bottom,ישבן
bottom,תחתית
bought,קנה
bounce,"לקפץ, ניתור"
boundary,גבול
brain,"מוח, שכל"
brainwash,לשטוף את המח
branch,"ענף, סניף"
brave,אמיץ
bread,לחם
break,לשבור
breathe,לנשום
breed,"להרביע, להפרות"
breed,"מין, גזע"
brick,לבנה
bridge,"גשר, לגשר"
brief,"תדריך, תקציר"
briefly,בקצרה
bright,"בהיר, ברור"
brilliant,מבריק
broad,נרחב
broadcast,לשדר
broaden,להרחיב
budget,"תקציב, לתקצב"
build,לבנות
build,מבנה
building,בניין
built,לבנות
bullet,קליע
bully,בריון
burden,עול
burglar,פורץ
burn,"לשרוף, להישרף"
bury,לקבור
bush,ערבה
bush,שיח
but,"אך, אבל"
but  -,"מלבד, חוץ מ"
butcher,לשחוט
butcher,קצב
butterfly,פרפר
by,"באמצעות, על- ידי"
by  -,"ליד, בסמוך ל"
by  -,"עד, לא יאוחר מ"
by no means,"ללא ספק, בשום אופן"
by now,עד עתה
cabin,בקתה
cable,כבל
cadaver,גופה
cage,"כלוב, לכלוא"
calculate,לחשב
calculator,מחשבון
call,"לקרוא, להתקשר"
camel,גמל
camera,מצלמה
campaign,"מערכה, מסע"
canal,תעלה
cancel,לבטל
candid,"כנה, ישיר"
candidate,מועמד
candy,ממתק
canvass,"לבדוק, לסקור"
capable,"מסוגל, יכול"
capacity,"יכולת, סמכות, תפקיד"
capacity,קיבולת
capital,אות גדולה
capital,הון
capital,עיר בירה
capital,"ראשי, משמעותי"
capital punishment,עונש מוות
capitalize,לנצל
capture,ללכוד
care,"לדאוג, לטפל"
care,לחבב
carefully,בזהירות
careless,"לא זהיר, רשלני"
cargo,מטען
carpet,שטיח
carry,לסחוב
carve,לחרוט
case,"מקרה, טיעון"
case,תיבה
cash,לפדות
cash,מזומן
cashier,קופאי
casino,קזינו
cast,"להשליך, לגרש"
cast,צוות שחקנים
caste,מעמד חברתי
castle,טירה
casual,"אגבי, רגיל, יומיומי"
catalogue,"קטלוג, רשימת פריטים"
categorize,"לקטלג, למיין, לסווג"
cater,לספק
caterpillar,זחל
cathedral,קתדרלה
cattle,בקר
cause,"גורם, סיבה"
cause,מטרה
cautious,זהיר
cave,מערה
caviar,קוויאר
cavity,חור
celebrate,לחגוג
cell,תא
cemetery,בית קברות
center,מרכז
central,מרכזי
century,מאה שנים
cereal,דגני בוקר
ceremony,"טקס, מסכת"
certain,בטוח
certain,מסוים
certainly,"בהחלט, בוודאי"
certainty,וודאות
certify,"להצהיר, לאשר"
challenge,אתגר
challenge,לאתגר
chance,סיכוי
change,עודף
change,"שינוי, לשנות"
chapter,פרק
character,אופי
character,"אות, תו"
character,דמות
characteristic,מאפיין
characterize,לאפיין
charge,לגבות
charge,להאשים
charge,להסתער
charge,לחייב
chariot,מרכבה
charity,צדקה
charm,קסם
chart,"גיליון, תרשים"
chase,"לרדוף, מרדף"
cheap,זול
cheat,"לרמות, לבגוד"
check,לבדוק
cheer,לעודד
cheerful,"עליז, שמח"
chemical,"כימיקל, כימי"
chief,צ'יף
chief,"ראשי, בכיר, מנהיג"
chiefly,בעיקר
child,ילד
childhood,ילדות
children,ילדים
choice,בחירה
choose,לבחור
church,כנסיה
cigarette,סיגריה
circle,להקיף בעיגול
circle,מעגל
circuit,"מסלול, להקיף"
circuit,מעגל חשמלי
circulate,להפיץ
circulate,לנוע במחזוריות
circumstance,"מצב, תנאי, נסיבות"
citizen,אזרחים
citrus,פרי הדר
civil,אדיב
civil,אזרחי
claim,"טענה, טוען"
claim,תביעה
clarify,להבהיר
clash,התנגשות
class,כיתה
class,מעמד
class,סוג
classify,"לסווג, מסווג"
clay,חימר
clean,"נקי, לנקות"
clever,פיקח
cliff,צוק
climate,אקלים
climb,לטפס
cloak,"מסווה, להסוות"
clock,שעון
close,"סגור, לסגור"
close,קרוב
cloth,"בגד, בד"
cloud,ענן
club,מועדון
coach,"מאמן, לאמן, להדריך"
coal,פחם
coast,חוף
coastline,קו/רצועת חוף
coat,מעיל
cockroach,"מקק, ג'וק"
code,קוד
coexist,להתקיים בשותפות
coexistence,דו- קיום
coffin,ארון מתים
coin,מטבע
coincide,"להקביל, לחפוף"
cold,"קר, התקררות"
collaborate,לשתף פעולה
collapse,להתמוטט
colleague,"עמית, קולגה"
collect,לאסוף
collide,להתנגש
collision,התנגשות
colonial,קולוניאלי
colony,מושבה
color,לצבוע
color,צבע
colossal,עצום
column,טור
column,עמוד
coma,תרדמת
combat,לתקוף
combat,קרב
combine,"לצרף, לשלב"
comfort,נחמה
comfortable,נוח
command,"פקודה, לפקוד"
commence,להתחיל
commendably,באופן ראוי לשבח
commends,לציין לשבח
commentary,פרשנות
commerce,מסחר
commercial,מסחרי
commercial,סרטון פרסומת
commit,ביצוע/ לבצע
commit,להתחייב
committee,ועדה
common,"נפוץ, משותף"
communal,"משותף, ציבורי"
communicate,לתקשר
community,קהילה
commute,"להחליף, להמיר"
commute,לנסוע בקביעות לעבודה
companion,בן- זוג
company,חברה
comparable,בר- השוואה
comparatively,באופן יחסי
compare,להשוות
comparison,השוואה
compatible,"מתאים, ראוי"
compel,"לאלץ, לחייב"
compensate,לפצות
compete,"להתחרות, להתמודד"
competition,תחרות
compile,"לאסוף, לקבץ"
complain,להתלונן
complete,כולל
complete,להשלים
complex,מסובך
complication,סיבוך
comply,"להסכים, לציית"
components,"חלקים, מרכיבים"
composed,הלחין
compost,זבל אורגני
comprehend,להבין
comprehension,הבנה
compress,לדחוס
comprise,לכלול
compromise,להתפשר
compulsory,מהווה חובה
conceal,להסתיר
conceive,להרהר
conceive,לעבר
concentrate,להתרכז
concept,"רעיון, מושג"
conception,תפיסה
concern,"דאגה, עניין"
concerted,מתואם
concise,"תמציתי, תכליתי"
conclude,להסיק
conclude,לסיים
conclusion,מסקנה
conclusively,"סופית, באופן החלטי"
concrete,בטון
concrete,"קונקרטי, מוחשי"
concur,להסכים
concurrence,להתרחש בו זמנית
condemned,לגנות
condemned  -,נידון ל
condense,לדחוס
condition,"להכשיר, להתאים"
condition,"תנאי, מצב, מעמד"
condone,"לסלוח, למחול"
conduct,"לנהל, לקיים"
confer,"להעניק, להסביר"
confer,להתייעץ
conference,ועידה
confess,להודות
confession,וידוי
confident,בטוח בעצמו
confinement,"מאסר, ריתוק"
confirm,"לאשר, לאמת"
confiscate,להחרים
conflict,"עימות, סכסוך"
conform,"להתאים, להסתגל"
confront,"להתעמת, לעמת"
confrontation,עימות
confuse,לבלבל
confusion,בלבול
congenial,"נעים, ידידותי"
congenital,מולד
congregate,"לאסוף קהל, לאסוף"
conjecture,"סברה, לשער"
connect,לחבר
conquer,לכבוש
conquest,כיבוש
conquistador,כובש
conscious,מודע
consequence,תוצאה
consequently,כתוצאה מכך
conservation,שימור
conservative,שמרני
conserve,לשמר
consider,"לקחת בחשבון, לשקול"
considerable,"הרבה, רבות"
consideration,התחשבות
considering,מתחשב
consist  -,מורכב מ
consistent,עקבי
consistently,בעקביות
consolidate,"לאחד, לגבש"
conspicuous,בולט
conspiracy,"קשר, מזימה"
constant,"קבוע, רצוף"
constantly,באופן קבוע
constitute,"להקים, לייסד"
constitute,מהווים
construct,לבנות
consult,להתייעץ
consume,לצרוך
consumers,צרכנים
contact,"ליצור קשר, מגע"
contagious,מדבק
contain,"להכיל, מכיל"
container,"מיכל, קונטיינר"
contaminate,לזהם
contemporary,עכשווי
contend,"להתמודד, לטעון, להיאבק"
content,שביעות רצון
content,תוכן
contest,למחות
contest,תחרות
context,הקשר
continent,יבשת
continuation,המשך
continue,להמשיך
continuity,"המשכיות, רצף הגיוני"
continuous,מתמשך
contract,"חוזה, הסכם"
contract,להתכווץ
contradiction,סתירה
contradictory,סותר
contrary  -,"להפך, בניגוד ל"
contrast,להוות ניגוד
contrast,ניגוד
contribute,לתרום
control,"לוח בקרה, פיקוח"
control,"שליטה, לשלוט"
controversial,שנוי במחלוקת
controversy,מחלוקת
convene,לכנס
convenient,נוח
conveniently,באופן נח
convention,"ועידה, כנס"
convention,מוסכמה
conventional,"שגרתי, קונבנציונאלי"
conversation,שיחה
conversely,לעומת זאת
convert,להמיר
convert,מומר
convey,"למסור, להעביר"
convict,אסיר
convict,להרשיע
convince,לשכנע
convoy,שיירה
cool,"לצנן, צונן"
coop,לול
coop,לכלוא
cooperation,שיתוף פעולה
coordination,"קואורדינציה, תיאום"
coordinator,מתאם
cope,להתמודד
copies,עותקים
copper,נחושת
copy,להעתיק
cord,מיתר
core,ליבה
corner,"פינה, לדחוק לפינה"
cornerstone,אבן פינה
correct,לתקן
correct,נכון
correlate,"לתאם, לקשר"
correspond,להתאים
correspond,להתכתב
correspondence,התכתבות
correspondingly,בהתאמה
corrupt,"להשחית, מושחת"
cosmopolitan,אוניברסלי
cost,"מחיר, עלות"
costly,יקר
cotton,כותנה
cougar,"פומה, סוג של טורף"
cough,"שיעול, להשתעל"
council,מועצה
counsel,"לייעץ, להדריך"
counsel,"פרקליט, יועץ"
count,לספור
count,רוזן
counterpart,"בעל תפקיד מקביל, עמית, בן- זוג"
country,ארץ
country,"כפר, אזור"
couple,"זוג, לצמד"
coupled with,יחד עם
coupon,קופון
courage,אומץ
courageous,אמיץ
course,מנה
course,מסלול
course,קורס
court,בית משפט
courteous,אדיב
courtesy,"נימוס, אדיבות"
cousin,בן- דוד
cover,"כיסוי, מכסה"
cow,פרה
crack,"סדק, לסדוק"
craft,"אומנות, מלאכה"
craft,כלי טייס / כלי שייט
craftsmen,"אומן, בעל מלאכה"
crash,"להתנגש, התנגשות"
crave,להשתוקק
create,ליצור
creator,יוצר
creature,יצור
credibility,"אמינות, מהימנות"
crime,פשע
cripple,להטיל מום
crisis,משבר
criteria,"אמת מידה, אבן בחן"
critic,מבקר
criticize,לבקר
critique,ביקורת
croak,קרקור
crop,יבול
crop,לקצץ
cross,לחצות
cross,"צלב, להצליב"
crossroad,צומת
crowd,להצטופף
crowd,קהל
crown,"כתר, להכתיר"
crude,גולמי
crude,"וולגרי, גס"
cruel,אכזרי
cucumber,מלפפון
cuisine,"מטבח, בישול"
culminate,הגיע לשיא
cult,כת
cultivate,"לעבד, לטפח"
culture,תרבות
cure,מרפא
curiosity,סקרנות
curious,סקרן
currency,מטבע
currently,"כרגע, נכון לעכשיו"
curse,"קללה, לקלל"
curtain,וילון
curve,"עקומה, פניה"
custom,מותאם אישית
custom,מנהג
customer,"לקוח, צרכן"
customize,להתאים באופן אישי
dagger,פגיון
daily,יומיומי
dairy,מחלבה
damage,"נזק, לגרום נזק"
damp,לח
dampen,לדכא
dance,לרקוד
dandy,גנדרני
danger,"סכנה, לסכן"
dangerous,מסוכן
dare,אתגר
dare,"להעיז, תעוזה"
darkness,חשיכה
dart,חץ
date,"יציאה, פגישה, דייט"
date,תאריך
date,תמר
daughter,בת
dawn,שחר
daydream,לחלום בהקיץ
deaf,חרש
deal,להתמודד
deal,עסקה
death,מוות
debate,"ויכוח, דיון"
debt,חוב
decade,עשור
decay,ריקבון
deceased,נפטר
deceive,להונות
decide,להחליט
decipher,לפענח
declaration,"הכרזה, הצהרה"
declare,להכריז
decline,ירידה
decline,לדחות
decline,לרדת
decorate,לקשט
decorative,"קישוטי, דקורטיבי"
decrease,"ירידה, הפחתה"
decrease,"להפחית, לצמצם"
dedicate,להקדיש
dedicated,מסור
dedicated  -,מוקדש ל
deduce,להסיק
deep,עמוק
deeply,"מאוד, במידה רבה"
deer,איל
defeat,תבוסה
defeated,הובס
defend,להגן
defense,הגנה
defer,"לעכב, לדחות"
deficiency,מחסור
define,להגדיר
definite,מוחלט
deflate  -,להוציא אוויר מ
deform,לעוות
deformity,"מום, עיוות"
degenerate,להתנוון
degree,דרגה
degree,מעלה
delay,"עיכוב, לאחר, לדחות"
delegate,"להאציל, להסמיך"
delete,למחוק
deliberate,"לשקול, לבחון, לדון"
deliberate,מכוון
deliberation,דיון
delicate,עדין
delight,תענוג
delinquent,"נזנח, נשכח"
delinquent,עבריין
deliver,לשלוח
delivery,משלוח
delusions,"אשליות, הזיות"
demand,"לדרוש, דרישה"
demean,"להנמיך, להשפיל"
demented,"משוגע, מטורף"
demographic,דמוגרפי
demonstrate,להדגים
demonstrate,להפגין
denial,הכחשה
densely,בצפיפות
density,צפיפות
dental,שקשור בשיניים
dentist,רופא שיניים
deny,להכחיש
deny,לסרב
depart,לעזוב
department,מחלקה
department-store,חנות כלבו
depend on  -,תלוי ב
depict,"לתאר, להציג, לשרטט"
deposit,"להפקיד, פיקדון"
depreciate,להפחית
depression,דיכאון
derision,לעג
derive  -,"לשאוב, להפיק, לגזור מ"
descend,"ירד, הדרדר"
descendent,צאצא
describe,לתאר
described,מתואר
description,תיאור
desert,לנטוש
desert,מדבר
design,"לתכנן, לעצב"
design,"תכנית, דוגמה, תרשים"
designer,מעצב
desirable,נחשק
desire,"תשוקה, חשק, לחפוץ"
desolate,הרוס
desolate,"שומם, נטוש"
despair,להתייאש
desperate,נואש
desperation,ייאוש
despise,לתעב
despite,למרות
dessert,קינוח
destination,יעד
destiny,גורל
destroy,להרוס
destructive,הרסני
detach,להתנתק
detail,"פרט, לפרט"
detect,"לאתר, לגלות"
deteriorate,להידרדר
determine,לקבוע
determined,"נחוש, נחרץ"
detract,"להפחית, לגרוע"
detrimental,מזיק
devastate,להחריב
devastated,"הרוס, מפורק"
develop,לפתח
development,"התפתחות, פיתוח"
deviant,סוטה
device,מכשיר
devise,"לתכנן, להמציא"
devoid,"חסר, נטול"
devote,להקדיש
diagnose,לאבחן
diagram,"תרשים, דיאגרמה"
dialect,ניב
diary,יומן
dictate,"להכתיב, לפקד"
dictator,"עריץ, דיקטטור"
die,"מת, למות"
diet,"דיאטה, תזונה"
difference,הבדל
differences,חילוקי דעות
different,שונה
different from  -,שונה מ
differentiate,"להבדיל, להבחין"
difficult,קשה
dilemma,"דילמה, בעיה"
dim,לעמעמם
dimension,מימד
diminish,לצמצם
direct,"ישיר, כנה"
direct,לביים
direct,לכוון
direction,כיוון
director,במאי
director,מנהל
dirty,מלוכלך
disadvantage,חסרון
disagreement,חוסר הסכמה
disappear,להעלם
disappoint,לאכזב
disapproving,"לא מאשר, לא מסכים, לא מרוצה"
disarmament,פירוק מנשק
disaster,אסון
disciples,תלמידים
discipline,"להעניש, לחנך, משמעת"
discipline,תחום לימוד/מחקר
disciplined,"חינך, העניש"
disciplined,ממושמע
disclose,"לגלות, לחשוף"
discontent,חוסר שביעות רצון
discord,"סכסוך, מחלוקת, צרימה"
discourage,לשכנע שלא לעשות משהו
discover,לגלות
discoveries,תגליות
discrepancy,"סתירה, פער"
discriminate,להפלות
discuss,"לדון, להתווכח"
disdain,"זלזול, בוז"
disease,מחלה
disgrace,בושה
disguise,תחפושת
disgust,"גועל, להגעיל"
disinfection,חיטוי
dislocate,"לפרוק, לנקוע"
disloyal,לא נאמן
dismiss,"לבטל, לפטר, לשחרר"
disobey,"להפר, לא לציית"
disorder,הפרעה
disparage,"לזלזל, להמעיט בערך"
disparagement,זלזול
dispatch,לשגר
displacement,עקירה
display,להציג
disposable,חד- פעמי
dispose,להיפטר
disprove,להפריך
disregard,להתעלם
disrupt,"להפריע, לשבש"
dissect,"לנתח, לבתר"
dissection,"חיתוך, ביתור"
disseminate,להפיץ
dissent,"להתנגד, חילוקי דעות"
dissolve,להתמוסס
distance,מרחק
distant,מרוחק
distinct,"ברור, נפרד"
distinction,הפרדה
distinction,מצוינות
distinctive,מיוחד
distinguish,"להבדיל, להבחין"
distract,להסיח את הדעת
distress,מצוקה
distribute,להפיץ
distribution,הפצה
district,מחוז
disturb,להפריע
disturbance,הפרעה
disuse,חוסר שימוש
diurnal,יומי
diverge,לסטות
diverse,מגוון
diversity,מגוון
divide,לחלק
divine,אלוהי
divinity,אלוהות
divorce,גירושין
docile,"צייתן, כנוע, נח"
document,לתעד
document,מסמך
domestic,ביתי
dominate,לשלוט
donate,לתרום
done,"גמור, עשוי"
donor,תורם
doorstep,מפתן הדלת
dose,"מנה, מינון"
double standard,מוסר כפול
doubt,"ספק, להטיל ספק"
dovecote,שובך
down,למטה
downhill,"מדרון, מורד"
dozen,תריסר
draft,גיוס
draft,טיוטה
draft,משיכה
draft,רוח פרצים
drag,לגרור
drastic,דרסטי
draw,לצייר
draw,"תיקו, שוויון"
draw (drew),"לשלוף, שלף"
drawback,"חסרון, עיכוב"
dread,"פחד, לפחד"
dream,"חלום, לחלום"
drench,"להרטיב, להספיג"
drift,"זרם, סחף"
drink,"לשתות, משקה"
drip,לטפטף
drought,בצורת
drug,"סם, תרופה, לסמם"
due,בשל
due,"צריך להיעשות, זמנו הגיע"
due to,"בגלל, לאור"
duel,דו- קרב
dull,משעמם
dull,סתום
dull,עמום
dump,לשפוך
duplicate,לשכפל
durable,"יציב, מתמשך"
during,"תוך כדי, במשך"
dust,"אבק, לאבק"
duty,"תפקיד, חובה"
dwarf,"לגמד, גמד"
dwell,להתגורר
dwelling,"משכן, בית"
dwindle,"הידלדל, התמעט"
dye,"צבע, לצבוע"
dynasty,שושלת
e.g.,לדוגמה
eager,"נחוש, נלהב"
eagle,נשר
earlier,קודם לכן
early,מוקדם
earn,להרוויח
earth,אדמה
earthquake,רעידת אדמה
ease,"להקל, קלוּת"
easily,בקלות
eccentric,"מוזר, אקסצנטרי"
echo,הד
ecological,אקולוגי
economy,כלכלה
edge,"קצה, חספוס"
edible,אכיל
edit,לערוך
edition,מהדורה
editor,עורך
educate,לחנך
education,השכלה
eel,צלופח
effect,"רושם, השפעה"
effect,"תוצאה, אפקט"
effective,"יעיל, אפקטיבי"
efficient,יעיל
effort,מאמץ
elaborate,"לפרט, להרחיב"
elastic,"גמיש, אלסטי, גומיה"
